genus_name common_name height_range_id diameter age_yrs
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 12.61327857631759
PRUNUS "KWANZAN FLOWERING CHERRY" 1 5 12.659822039698836
PRUNUS "KWANZAN FLOWERING CHERRY" 1 9 12.772073921971252
PRUNUS "KWANZAN FLOWERING CHERRY" 1 5.75 12.654346338124572
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 12.772073921971252
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 11.969883641341546
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 11.978097193702943
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 11.967145790554415
PRUNUS "KWANZAN FLOWERING CHERRY" 1 5 11.983572895277208
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 11.969883641341546
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 11.868583162217659
PRUNUS "KWANZAN FLOWERING CHERRY" 2 7.5 18.559890485968516
PRUNUS "KWANZAN FLOWERING CHERRY" 1 4 17.963039014373717
PRUNUS "KWANZAN FLOWERING CHERRY" 1 6 15.665982203969884
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 15.912388774811772
PRUNUS "KWANZAN FLOWERING CHERRY" 1 4 15.816563997262149
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3 15.811088295687885
PRUNUS "KWANZAN FLOWERING CHERRY" 2 3.5 29.689253935660506
PRUNUS "KWANZAN FLOWERING CHERRY" 2 4 29.689253935660506
PRUNUS "KWANZAN FLOWERING CHERRY" 2 7 29.689253935660506
PRUNUS "KWANZAN FLOWERING CHERRY" 2 3 24.607802874743328
PRUNUS "KWANZAN FLOWERING CHERRY" 2 5 28.520191649555098
PRUNUS "KWANZAN FLOWERING CHERRY" 2 17 26.872005475701574
PRUNUS "KWANZAN FLOWERING CHERRY" 2 12.5 27.397672826830938
PRUNUS "KWANZAN FLOWERING CHERRY" 2 9 27.397672826830938
PRUNUS "KWANZAN FLOWERING CHERRY" 2 11.5 26.874743326488705
PRUNUS "KWANZAN FLOWERING CHERRY" 2 10 26.874743326488705
PRUNUS "KWANZAN FLOWERING CHERRY" 2 9.25 23.66050650239562
PRUNUS "KWANZAN FLOWERING CHERRY" 1 9 23.5564681724846
PRUNUS "KWANZAN FLOWERING CHERRY" 2 3 22.86652977412731
PRUNUS "KWANZAN FLOWERING CHERRY" 2 5 22.8145106091718
PRUNUS "KWANZAN FLOWERING CHERRY" 1 12 22.77344284736482
